Año_de_defunción	N_muertes_hombres	Tasa_bruta_hombres	Tasa_ajustada_hombres	N_muertes_mujeres	Tasa_bruta_mujeres	Tasa_ajustada_mujeres	N_muertes_ambos	Tasa_bruta_ambos	Tasa_ajustada_ambos
2000	0	0	0	683	8,8	8,8	683	8,8	8,8
2001	0	0	0	674	8,5	8,4	674	8,5	8,4
2002	0	0	0	632	7,9	7,6	632	7,9	7,6
2003	0	0	0	677	8,4	7,9	677	8,4	7,9
2004	0	0	0	676	8,3	7,7	676	8,3	7,7
2005	0	0	0	677	8,2	7,5	677	8,2	7,5
2006	0	0	0	669	8,1	7,3	669	8,1	7,3
2007	0	0	0	638	7,6	6,7	638	7,6	6,7
2008	0	0	0	636	7,5	6,5	636	7,5	6,5
2009	0	0	0	646	7,5	6,5	646	7,5	6,5
2010	0	0	0	578	6,7	5,6	578	6,7	5,6
2011	0	0	0	587	6,7	5,5	587	6,7	5,5
2012	0	0	0	584	6,6	5,4	584	6,6	5,4
2013	0	0	0	560	6,3	5,1	560	6,3	5,1
2014	0	0	0	539	6	4,8	539	6	4,8
2015	0	0	0	620	6,8	5,4	620	6,8	5,4
2016	0	0	0	624	6,8	5,3	624	6,8	5,3
2017	0	0	0	601	6,4	5	601	6,4	5
2018	0	0	0	609	6,4	4,9	609	6,4	4,9
2019	0	0	0	650	6,7	5,1	650	6,7	5,1
Total	0	0	0	12560	7,3	6,2	12560	7,3	6,2
