Año_de_defunción	N_muertes_hombres	Tasa_bruta_hombres	Tasa_ajustada_hombres	N_muertes_mujeres	Tasa_bruta_mujeres	Tasa_ajustada_mujeres	N_muertes_ambos	Tasa_bruta_ambos	Tasa_ajustada_ambos
2000	335	4,4	5,5	528	6,8	6,5	863	5,6	6,1
2001	395	5,2	6,2	481	6,1	5,8	876	5,6	6,0
2002	359	4,6	5,5	501	6,3	5,8	860	5,5	5,7
2003	422	5,4	6,3	554	6,9	6,3	976	6,2	6,3
2004	420	5,3	6,1	579	7,1	6,3	999	6,2	6,2
2005	470	5,9	6,6	574	7,0	6,1	1.044	6,5	6,3
2006	476	5,9	6,5	616	7,4	6,4	1.092	6,7	6,4
2007	506	6,2	6,7	610	7,3	6,1	1.116	6,8	6,4
2008	540	6,6	6,9	672	7,9	6,6	1.212	7,3	6,7
2009	553	6,7	6,8	714	8,3	6,8	1.267	7,5	6,8
2010	658	7,8	7,9	701	8,1	6,5	1.359	8,0	7,1
2011	627	7,4	7,2	783	8,9	7,0	1.410	8,2	7,1
2012	718	8,4	8,0	838	9,5	7,3	1.556	8,9	7,6
2013	755	8,7	8,1	876	9,8	7,4	1.631	9,3	7,7
2014	805	9,2	8,4	920	10,2	7,5	1.725	9,7	7,9
2015	859	9,7	8,6	1.001	11,0	7,9	1.860	10,3	8,3
2016	856	9,6	8,3	1.005	10,9	7,7	1.861	10,2	8,0
2017	901	9,9	8,4	1.003	10,7	7,5	1.904	10,3	7,9
2018	981	10,6	8,8	1.018	10,7	7,4	1.999	10,7	8,0
2019	1.066	11,3	9,2	1.135	11,7	8,0	2.201	11,5	8,5
Total	12.702	7,6	7,5	15.109	8,7	6,9	27.811	8,2	7,2
