Año_de_defunción	N_muertes_hombres	Tasa_bruta_hombres	Tasa_ajustada_hombres	N_muertes_mujeres	Tasa_bruta_mujeres	Tasa_ajustada_mujeres	N_muertes_ambos	Tasa_bruta_ambos	Tasa_ajustada_ambos
2000	10	0,1	0,2	1027	13,2	13,1	1037	6,8	7,3
2001	6	0,1	0,1	1024	13	12,7	1030	6,6	7
2002	11	0,1	0,2	1049	13,2	12,6	1060	6,8	7
2003	10	0,1	0,2	1070	13,3	12,5	1080	6,8	6,9
2004	5	0,1	0,1	1096	13,5	12,5	1101	6,9	6,9
2005	9	0,1	0,1	1169	14,2	12,9	1178	7,3	7,1
2006	7	0,1	0,1	1145	13,8	12,3	1152	7	6,8
2007	7	0,1	0,1	1160	13,8	12,1	1167	7,1	6,7
2008	8	0,1	0,1	1228	14,5	12,4	1236	7,4	6,9
2009	14	0,2	0,2	1338	15,6	13,2	1352	8	7,3
2010	8	0,1	0,1	1297	15	12,5	1305	7,6	6,8
2011	11	0,1	0,1	1347	15,4	12,5	1358	7,9	6,9
2012	4	0	0	1367	15,4	12,4	1371	7,9	6,8
2013	14	0,2	0,2	1389	15,5	12,3	1403	8	6,7
2014	14	0,2	0,1	1422	15,7	12,2	1436	8,1	6,7
2015	11	0,1	0,1	1511	16,6	12,6	1522	8,5	6,9
2016	9	0,1	0,1	1490	16,2	12,1	1499	8,3	6,6
2017	15	0,2	0,1	1504	16,1	11,9	1519	8,2	6,5
2018	8	0,1	0,1	1552	16,3	11,9	1560	8,3	6,5
2019	5	0,1	0	1654	17,1	12,3	1659	8,7	6,7
Total	186	0,1	0,1	25839	14,9	12,4	26025	7,6	6,8
