Año_de_defunción	N_muertes_hombres	Tasa_bruta_hombres	Tasa_ajustada_hombres	N_muertes_mujeres	Tasa_bruta_mujeres	Tasa_ajustada_mujeres	N_muertes_ambos	Tasa_bruta_ambos	Tasa_ajustada_ambos
2000	1284	17	21,6	0	0	0	1284	17	21,6
2001	1285	16,8	20,9	0	0	0	1285	16,8	20,9
2002	1347	17,4	21,3	0	0	0	1347	17,4	21,3
2003	1472	18,9	22,6	0	0	0	1472	18,9	22,6
2004	1462	18,5	21,8	0	0	0	1462	18,5	21,8
2005	1514	19	21,9	0	0	0	1514	19	21,9
2006	1598	19,9	22,4	0	0	0	1598	19,9	22,4
2007	1646	20,3	22,3	0	0	0	1646	20,3	22,3
2008	1673	20,4	21,9	0	0	0	1673	20,4	21,9
2009	1753	21,1	22,2	0	0	0	1753	21,1	22,2
2010	1924	22,9	23,6	0	0	0	1924	22,9	23,6
2011	1942	22,9	22,9	0	0	0	1942	22,9	22,9
2012	2045	23,8	23,3	0	0	0	2045	23,8	23,3
2013	2041	23,5	22,3	0	0	0	2041	23,5	22,3
2014	2054	23,5	21,7	0	0	0	2054	23,5	21,7
2015	2097	23,7	21,3	0	0	0	2097	23,7	21,3
2016	2108	23,6	20,5	0	0	0	2108	23,6	20,5
2017	2185	24,1	20,4	0	0	0	2185	24,1	20,4
2018	2155	23,3	19,2	0	0	0	2155	23,3	19,2
2019	2222	23,6	18,9	0	0	0	2222	23,6	18,9
Total	35807	21,4	21,5	0	0	0	35807	21,4	21,5
