Año_de_defunción	N_muertes_hombres	Tasa_bruta_hombres	Tasa_ajustada_hombres	N_muertes_mujeres	Tasa_bruta_mujeres	Tasa_ajustada_mujeres	N_muertes_ambos	Tasa_bruta_ambos	Tasa_ajustada_ambos
2000	321	4,3	5,2	374	4,8	4,7	695	4,5	4,9
2001	319	4,2	5	394	5	4,8	713	4,6	4,9
2002	379	4,9	5,8	441	5,5	5,2	820	5,2	5,5
2003	404	5,2	6	492	6,1	5,6	896	5,7	5,8
2004	389	4,9	5,5	508	6,2	5,6	897	5,6	5,6
2005	393	4,9	5,4	488	5,9	5,2	881	5,4	5,3
2006	407	5,1	5,5	519	6,3	5,4	926	5,7	5,4
2007	428	5,3	5,6	533	6,4	5,4	961	5,8	5,5
2008	466	5,7	5,9	594	7	5,8	1060	6,3	5,9
2009	491	5,9	6	578	6,7	5,5	1069	6,3	5,7
2010	499	5,9	5,9	608	7	5,6	1107	6,5	5,7
2011	492	5,8	5,6	616	7	5,5	1108	6,4	5,6
2012	526	6,1	5,8	674	7,6	5,8	1200	6,9	5,8
2013	577	6,7	6,2	700	7,8	5,9	1277	7,3	6
2014	629	7,2	6,5	696	7,7	5,7	1325	7,4	6,1
2015	640	7,2	6,4	709	7,8	5,6	1349	7,5	6
2016	662	7,4	6,4	816	8,8	6,3	1478	8,1	6,4
2017	649	7,2	6,1	815	8,7	6	1464	7,9	6,1
2018	701	7,6	6,3	793	8,3	5,7	1494	8	6
2019	686	7,3	5,9	786	8,1	5,4	1472	7,7	5,6
Total	10058	6	5,9	12134	7	5,6	22192	6,5	5,7
