Año_de_defunción	N_muertes_hombres	Tasa_bruta_hombres	Tasa_ajustada_hombres	N_muertes_mujeres	Tasa_bruta_mujeres	Tasa_ajustada_mujeres	N_muertes_ambos	Tasa_bruta_ambos	Tasa_ajustada_ambos
2000	290	3,8	4,7	988	12,7	12,5	1.278	8,3	9,0
2001	267	3,5	4,2	902	11,4	11,2	1.169	7,5	8,0
2002	266	3,4	4,0	1.029	12,9	12,3	1.295	8,3	8,6
2003	279	3,6	4,1	1.035	12,8	12,0	1.314	8,3	8,5
2004	315	4,0	4,5	977	12,0	11,0	1.292	8,1	8,1
2005	340	4,3	4,7	1.017	12,4	11,1	1.357	8,4	8,2
2006	311	3,9	4,2	1.004	12,1	10,6	1.315	8,0	7,7
2007	362	4,5	4,7	1.089	13,0	11,2	1.451	8,8	8,3
2008	335	4,1	4,2	1.070	12,6	10,7	1.405	8,4	7,8
2009	360	4,3	4,4	1.015	11,8	9,8	1.375	8,1	7,4
2010	334	4,0	3,9	1.001	11,6	9,4	1.335	7,8	6,9
2011	367	4,3	4,2	1.036	11,8	9,5	1.403	8,1	7,1
2012	385	4,5	4,3	1.010	11,4	8,9	1.395	8,0	6,8
2013	364	4,2	3,9	979	10,9	8,4	1.343	7,6	6,3
2014	353	4,0	3,7	955	10,6	7,9	1.308	7,4	6,0
2015	385	4,4	3,9	931	10,2	7,5	1.316	7,3	5,9
2016	364	4,1	3,5	899	9,7	7,0	1.263	7,0	5,4
2017	331	3,6	3,1	860	9,2	6,5	1.191	6,5	5,0
2018	398	4,3	3,6	981	10,3	7,2	1.379	7,4	5,5
2019	328	3,5	2,8	875	9,0	6,2	1.203	6,3	4,7
Total	6.734	4,0	4,0	19.653	11,4	9,3	26.387	7,7	6,9
