Año_de_defunción	N_muertes_hombres	Tasa_bruta_hombres	Tasa_ajustada_hombres	N_muertes_mujeres	Tasa_bruta_mujeres	Tasa_ajustada_mujeres	N_muertes_ambos	Tasa_bruta_ambos	Tasa_ajustada_ambos
2000	9290	123,1	150,6	8972	115,1	112,7	18262	119	128,4
2001	9392	123	147,6	9002	114,2	109,9	18394	118,5	125,5
2002	9816	127,1	149,9	9330	117	110,4	19146	122	126,8
2003	10120	129,7	150	9580	118,9	110,3	19700	124,2	126,7
2004	10229	129,8	147,1	9671	118,8	108	19900	124,2	124,2
2005	10552	132,5	147,4	9928	120,8	107,6	20480	126,5	124
2006	10729	133,4	145,3	10052	121,1	105,9	20781	127,1	122,1
2007	11084	136,4	145,4	10404	124	106,4	21488	130,1	122,6
2008	11194	136,2	142,4	10630	125,3	105,6	21824	130,7	120,8
2009	11753	141,5	144,8	10883	126,9	105	22636	134,1	121,6
2010	12186	145,1	145,5	10950	126,3	102,8	23136	135,6	120,6
2011	12298	144,8	142	11374	129,8	103,6	23672	137,2	119,7
2012	12627	147,1	141,1	11745	132,6	103,7	24372	139,7	119,4
2013	12803	147,7	138,2	11789	131,8	101,4	24592	139,6	116,9
2014	13134	150	137,3	11878	131,5	99	25012	140,6	115,3
2015	13503	152,7	136,4	12261	134,4	99,6	25764	143,4	115,2
2016	13656	152,7	133,2	12371	134,1	97,6	26027	143,3	112,7
2017	13669	150,6	128,2	12560	134,4	96,1	26229	142,4	109,6
2018	13995	151,4	126,1	12712	133,7	94,1	26707	142,4	107,7
2019	14185	150,5	123	13151	135,8	94,1	27336	143,1	106,4
Total	236215	140,9	139,6	219243	126,8	102,8	455458	133,7	118,3
