Año_de_defunción	N_muertes_hombres	Tasa_bruta_hombres	Tasa_ajustada_hombres	N_muertes_mujeres	Tasa_bruta_mujeres	Tasa_ajustada_mujeres	N_muertes_ambos	Tasa_bruta_ambos	Tasa_ajustada_ambos
2000	2.010	26,6	32,7	1.012	13,0	12,5	3.022	19,7	21,3
2001	1.965	25,7	31,0	967	12,3	11,6	2.932	18,9	20,0
2002	2.086	27,0	31,9	1.053	13,2	12,3	3.139	20,0	20,8
2003	2.060	26,4	30,6	1.055	13,1	11,9	3.115	19,6	20,0
2004	2.027	25,7	29,2	1.025	12,6	11,3	3.052	19,0	19,0
2005	2.044	25,7	28,5	1.048	12,7	11,2	3.092	19,1	18,7
2006	2.137	26,6	28,8	972	11,7	10,1	3.109	19,0	18,3
2007	2.044	25,1	26,7	1.026	12,2	10,3	3.070	18,6	17,5
2008	2.023	24,6	25,7	1.088	12,8	10,6	3.111	18,6	17,2
2009	2.235	26,9	27,5	1.115	13,0	10,6	3.350	19,8	17,9
2010	2.249	26,8	26,8	1.067	12,3	9,8	3.316	19,4	17,2
2011	2.146	25,3	24,7	1.091	12,5	9,8	3.237	18,8	16,3
2012	2.181	25,4	24,3	1.173	13,2	10,2	3.354	19,2	16,3
2013	2.132	24,6	22,9	1.108	12,4	9,4	3.240	18,4	15,3
2014	2.184	24,9	22,7	1.081	12,0	8,9	3.265	18,4	15,0
2015	2.247	25,4	22,6	1.123	12,3	9,0	3.370	18,8	15,0
2016	2.153	24,1	20,9	1.097	11,9	8,5	3.250	17,9	14,0
2017	2.191	24,1	20,5	1.107	11,8	8,3	3.298	17,9	13,7
2018	2.153	23,3	19,3	1.012	10,6	7,3	3.165	16,9	12,7
2019	2.056	21,8	17,8	999	10,3	7,0	3.055	16,0	11,8
Total	42.323	25,2	24,9	21.219	12,3	9,8	63.542	18,7	16,4
