Año_de_defunción	N_muertes_hombres	Tasa_bruta_hombres	Tasa_ajustada_hombres	N_muertes_mujeres	Tasa_bruta_mujeres	Tasa_ajustada_mujeres	N_muertes_ambos	Tasa_bruta_ambos	Tasa_ajustada_ambos
2000	7.269	1.592,1	1.887,8	6.786	1.593,2	1.675,3	14.055	1.592,6	1.763,9
2001	7.493	1.635,5	1.910,6	6.905	1.618,3	1.672,6	14.398	1.626,8	1.772,0
2002	7.709	1.657,8	1.902,7	7.125	1.609,8	1.645,5	14.834	1.633,5	1.755,7
2003	7.903	1.665,1	1.879,6	7.212	1.637,0	1.646,7	15.115	1.650,9	1.744,6
2004	8.035	1.644,3	1.830,0	7.197	1.613,4	1.600,7	15.232	1.628,7	1.696,3
2005	8.186	1.637,3	1.799,5	7.405	1.603,8	1.568,5	15.591	1.620,4	1.666,3
2006	8.265	1.620,0	1.754,3	7.532	1.622,6	1.565,6	15.797	1.621,3	1.642,9
2007	8.530	1.653,4	1.759,6	7.704	1.636,3	1.559,2	16.234	1.644,8	1.643,9
2008	8.498	1.640,3	1.724,8	7.778	1.621,5	1527,2	16.276	1.630,8	1.610,4
2009	8.816	1.683,7	1.745,1	7.902	1.628,2	1.513,9	16.718	1.655,7	1.613,9
2010	9.123	1.713,5	1.750,0	7.844	1.635,7	1.505,9	16.967	1.674,2	1.612,2
2011	8.989	1.690,8	1.700,3	8.167	1.650,7	1.503,1	17.156	1.670,6	1.588,5
2012	9.246	1.672,2	1.664,5	8.341	1.637,4	1.475,9	17.587	1.654,6	1.556,9
2013	9.334	1.684,4	1.647,5	8.471	1.668,1	1.487,1	17.805	1.676,2	1.554,9
2014	9.505	1.698,4	1.645,7	8.369	1.584,1	1.395,4	17.874	1.640,8	1.507,8
2015	9.780	1.713,5	1.628,5	8.601	1.645,4	1.432,4	18.381	1.679,1	1.518,9
2016	9.754	1.695,3	1.592,9	8.696	1.645,6	1.425,1	18.450	1.670,3	1.499,0
2017	9.670	1.601,3	1.478,3	8.853	1.634,6	1.394,2	18.523	1.618,1	1.427,6
2018	10.061	1.645,3	1.501,6	8.887	1.613,7	1.370,8	18.948	1.629,4	1.426,3
2019	10.091	1.614,6	1.460,6	9.198	1.619,6	1.370,2	19.289	1.617,1	1.407,2
Total	176.257	1.658,4	1.693,2	158.973	1.790,1	1.638,0	335.230	1.721,7	1.655,9
