Año_de_defunción	N_muertes_hombres	Tasa_bruta_hombres	Tasa_ajustada_hombres	N_muertes_mujeres	Tasa_bruta_mujeres	Tasa_ajustada_mujeres	N_muertes_ambos	Tasa_bruta_ambos	Tasa_ajustada_ambos
2000	0	0	0	590	189	192,9	590	189	192,9
2001	0	0	0	587	188,1	189	587	188,1	189
2002	0	0	0	553	159,1	159,3	553	159,1	159,3
2003	0	0	0	574	164,1	161,9	574	164,1	161,9
2004	0	0	0	569	170,3	165,7	569	170,3	165,7
2005	0	0	0	563	162,7	156,7	563	162,7	156,7
2006	0	0	0	565	162	153,8	565	162	153,8
2007	0	0	0	540	152,7	143,4	540	152,7	143,4
2008	0	0	0	522	140,6	130,6	522	140,6	130,6
2009	0	0	0	524	141,2	129,6	524	141,2	129,6
2010	0	0	0	474	125,3	114,9	474	125,3	114,9
2011	0	0	0	485	120,6	108,8	485	120,6	108,8
2012	0	0	0	464	129,6	116,9	464	129,6	116,9
2013	0	0	0	462	119,1	106,9	462	119,1	106,9
2014	0	0	0	434	113,3	100,5	434	113,3	100,5
2015	0	0	0	506	136,1	120,4	506	136,1	120,4
2016	0	0	0	514	136,2	120,1	514	136,2	120,1
2017	0	0	0	494	129,3	113,3	494	129,3	113,3
2018	0	0	0	500	127,6	109,8	500	127,6	109,8
2019	0	0	0	546	136	118,3	546	136	118,3
Total	0	0	0	10466	158,7	144,8	10466	158,7	144,8
