Año_de_defunción	N_muertes_hombres	Tasa_bruta_hombres	Tasa_ajustada_hombres	N_muertes_mujeres	Tasa_bruta_mujeres	Tasa_ajustada_mujeres	N_muertes_ambos	Tasa_bruta_ambos	Tasa_ajustada_ambos
2000	261	48,7	60,0	340	63,4	67,5	601	56,1	63,7
2001	309	60,0	71,6	329	62,4	65,3	638	61,2	67,9
2002	279	53,1	62,0	323	58,3	60,3	602	55,7	61,0
2003	312	58,4	66,9	346	63,6	64,3	658	61,0	65,3
2004	316	55,7	63,2	362	65,5	65,3	678	60,6	63,9
2005	361	63,1	71,2	367	60,6	59,8	728	61,8	64,8
2006	349	60,7	67,0	400	68,2	66,1	749	64,5	66,2
2007	379	67,1	71,6	389	68,4	65,0	768	67,8	67,8
2008	391	69,9	74,4	439	77,2	72,5	830	73,6	73,0
2009	394	71,4	73,6	444	83,3	77,2	838	77,4	75,2
2010	477	79,0	82,3	417	79,3	72,4	894	79,2	76,3
2011	469	78,8	79,5	473	78,2	70,7	942	78,5	74,6
2012	509	86,8	86,6	528	87,9	78,1	1.037	87,3	81,9
2013	554	107,2	101,7	533	94,3	83,0	1.087	100,7	91,8
2014	570	97,0	93,0	542	95,7	82,1	1.112	96,3	86,8
2015	648	117,0	109,0	584	100,2	85,7	1.232	108,5	96,6
2016	611	105,2	97,7	585	95,1	79,5	1.196	100,1	88,2
2017	631	101,4	92,8	605	106,8	89,2	1.236	104,1	90,6
2018	704	114,0	103,1	614	106,5	88,1	1.318	110,2	94,8
2019	757	118,4	105,4	702	117,0	96,8	1.459	117,7	100,3
Total	9.281	81,9	83,7	9.322	90,9	82,3	18.603	86,2	82,7
