Año_de_defunción	N_muertes_hombres	Tasa_bruta_hombres	Tasa_ajustada_hombres	N_muertes_mujeres	Tasa_bruta_mujeres	Tasa_ajustada_mujeres	N_muertes_ambos	Tasa_bruta_ambos	Tasa_ajustada_ambos
2000	1.648	327,3	401,1	654	119,9	127,5	2.302	222,3	252,9
2001	1.603	318,3	384,1	656	122,6	128,2	2.259	219,3	245,1
2002	1.688	333,5	391,6	743	139,7	143,8	2.431	235,5	257,6
2003	1.665	319,0	368,5	692	131,5	133,2	2.357	224,2	241,0
2004	1.654	313,4	355,7	694	127,9	127,5	2.348	219,6	232,1
2005	1.642	307,0	342,0	703	131,6	129,3	2.345	218,3	226,9
2006	1.726	325,3	352,4	670	114,5	110,9	2.396	218,7	222,8
2007	1.679	309,8	331,4	688	122,8	117,1	2.367	215,3	216,1
2008	1.596	277,1	295,2	691	119,8	113,3	2.287	197,6	196,9
2009	1.764	317,4	330,5	725	126,0	117,4	2.489	220,8	215,7
2010	1.772	308,4	316,4	705	126,7	116,5	2.477	216,7	209,1
2011	1.666	292,3	293,2	716	123,4	111,8	2.382	207,1	196,1
2012	1.701	282,5	280,6	742	130,7	118,0	2.443	205,9	193,1
2013	1.642	279,6	270,6	720	126,1	112,1	2.362	202,2	185,7
2014	1.671	274,5	262,2	704	119,4	104,3	2.375	196,2	177,9
2015	1.714	282,2	264,4	732	122,0	105,5	2.446	201,5	179,9
2016	1.602	265,1	242,6	692	116,9	99,8	2.294	190,4	167,0
2017	1.634	255,1	230,7	709	120,3	102,1	2.343	187,2	162,2
2018	1.628	258,7	230,2	620	101,9	84,6	2.248	179,8	153,3
2019	1.548	234,9	207,6	637	104,1	86,7	2.185	169,1	143,6
Total	33.243	292,5	298,4	13893	134,4	122,5	47.136	216,5	207,6
