Año_de_defunción	N_muertes_hombres	Tasa_bruta_hombres	Tasa_ajustada_hombres	N_muertes_mujeres	Tasa_bruta_mujeres	Tasa_ajustada_mujeres	N_muertes_ambos	Tasa_bruta_ambos	Tasa_ajustada_ambos
2000	242	113,7	114,5	215	88,2	88,6	457	100,8	101,5
2001	260	111,0	112,7	229	88,3	88,4	489	99,5	100,3
2002	269	118,4	119,5	231	90,4	91,2	500	104,3	105,2
2003	276	115,8	117,3	237	93,5	93,8	513	104,5	105,1
2004	259	110,0	111,2	228	92,2	92,4	487	101,0	101,5
2005	251	97,3	97,8	234	89,0	88,5	485	93,1	93,0
2006	278	102,1	104,8	223	76,8	76,3	501	89,3	90,2
2007	291	107,6	109,4	252	92,3	92,2	543	99,9	100,6
2008	253	98,7	100,7	253	87,1	88,0	506	92,8	94,4
2009	283	107,1	109,6	202	66,2	66,3	485	86,4	87,9
2010	271	98,1	98,9	218	65,8	66,5	489	81,8	82,5
2011	283	104,0	103,3	227	75,0	76,0	510	89,4	89,4
2012	303	106,0	107,9	248	77,2	76,9	551	91,5	92,3
2013	318	106,2	108,3	265	86,9	86,9	583	96,5	97,3
2014	314	104,3	106,9	288	86,4	85,8	602	95,2	96,3
2015	299	92,4	93,9	285	76,2	74,2	584	84,2	84,1
2016	336	113,8	115,9	256	83,7	83,4	592	98,6	99,5
2017	330	89,7	88,5	266	71,3	68,1	596	80,5	78,1
2018	307	87,4	86,8	281	82,9	83,8	588	85,2	85,1
2019	333	91,6	91,0	291	81,3	80,5	624	86,4	85,6
Total	5.756	103,4	104,7	4.929	90,6	90,5	10.685	97,3	97,8
