Año_de_defunción	N_muertes_hombres	Tasa_bruta_hombres	Tasa_ajustada_hombres	N_muertes_mujeres	Tasa_bruta_mujeres	Tasa_ajustada_mujeres	N_muertes_ambos	Tasa_bruta_ambos	Tasa_ajustada_ambos
2000	6	0,8	1,2	827	217,9	228,0	833	110,7	120,9
2001	4	1,0	1,2	834	224,8	230,1	838	114,2	121,4
2002	8	1,0	1,3	848	219,7	222,8	856	111,6	117,8
2003	8	0,9	1,1	854	230,1	228,6	862	116,8	120,2
2004	2	0,2	0,3	868	228,2	223,4	870	115,5	117,1
2005	6	0,9	1,1	932	236,2	227,9	938	119,9	119,9
2006	6	0,7	0,8	916	231,9	220,4	922	117,6	115,5
2007	5	0,9	0,9	910	228,1	213,4	915	115,7	112,0
2008	3	0,6	0,7	974	238,7	220,9	977	120,9	115,6
2009	8	1,1	1,1	1.038	252,5	230,2	1.046	128,0	120,6
2010	7	1,2	1,2	1.024	253,3	228,4	1.031	128,5	119,3
2011	7	1,2	1,3	1.017	243,5	216,8	1.024	123,5	113,4
2012	3	0,6	0,5	1.033	242,3	213,7	1.036	122,5	111,3
2013	9	1,7	1,7	1.071	252,2	220,0	1.080	128,1	114,9
2014	9	1,2	1,1	1.073	250,2	216,6	1.082	126,8	112,7
2015	8	1,5	1,4	1.144	258,9	221,6	1.152	131,3	115,3
2016	5	0,4	0,4	1.160	254,5	215,4	1.165	128,5	111,7
2017	9	1,9	1,7	1.165	249,4	208,5	1.174	126,5	108,5
2018	7	0,9	0,8	1.165	249,0	210,6	1.172	125,7	108,6
2019	2	0,3	0,3	1.228	260,6	217,2	1.230	131,2	111,8
Total	122	1,0	1,0	20.081	266,1	239,3	20.203	128,4	119,9
