Año_de_defunción	N_muertes_hombres	Tasa_bruta_hombres	Tasa_ajustada_hombres	N_muertes_mujeres	Tasa_bruta_mujeres	Tasa_ajustada_mujeres	N_muertes_ambos	Tasa_bruta_ambos	Tasa_ajustada_ambos
2000	710	79,7	109,5	0	0	0	710	79,7	109,5
2001	741	89,3	118,6	0	0	0	741	89,3	118,6
2002	725	87,2	113,4	0	0	0	725	87,2	113,4
2003	834	91,4	118,8	0	0	0	834	91,4	118,8
2004	801	90,7	113,9	0	0	0	801	90,7	113,9
2005	834	89,7	112,2	0	0	0	834	89,7	112,2
2006	883	89,5	111,1	0	0	0	883	89,5	111,1
2007	863	90,8	108,4	0	0	0	863	90,8	108,4
2008	890	94,6	111,4	0	0	0	890	94,6	111,4
2009	879	90,8	104	0	0	0	879	90,8	104
2010	961	95,3	109,3	0	0	0	961	95,3	109,3
2011	913	98,1	108	0	0	0	913	98,1	108
2012	1010	105	113,5	0	0	0	1010	105	113,5
2013	1002	103,8	109,7	0	0	0	1002	103,8	109,7
2014	974	101,8	105,4	0	0	0	974	101,8	105,4
2015	1021	103,9	104,6	0	0	0	1021	103,9	104,6
2016	1040	102,8	101,2	0	0	0	1040	102,8	101,2
2017	1025	103,1	98,4	0	0	0	1025	103,1	98,4
2018	1087	107,4	100,6	0	0	0	1087	107,4	100,6
2019	1094	107,5	98,4	0	0	0	1094	107,5	98,4
Total	18287	96,5	107,5	0	0	0	18287	96,5	107,5
