Año_de_defunción	N_muertes_hombres	Tasa_bruta_hombres	Tasa_ajustada_hombres	N_muertes_mujeres	Tasa_bruta_mujeres	Tasa_ajustada_mujeres	N_muertes_ambos	Tasa_bruta_ambos	Tasa_ajustada_ambos
2000	1.085	217,4	268,3	483	97,6	104,7	1.568	156,8	179,4
2001	1.165	233,7	284,2	539	106,1	112,0	1.704	169,1	190,6
2002	1.173	225,2	269,6	549	103,6	107,4	1.722	163,7	181,1
2003	1.112	216,1	250,9	544	101,4	103,1	1.656	158,1	170,7
2004	1.263	235,8	268,6	587	106,5	106,8	1.850	170,4	181,1
2005	1.270	237,1	265,8	643	114,1	112,3	1.913	174,9	182,8
2006	1.264	227,4	250,0	687	117,6	114,0	1.951	171,9	176,4
2007	1.350	238,3	256,2	713	123,4	118,2	2.063	180,3	181,9
2008	1.276	226,1	241,0	713	123,7	116,1	1.989	174,4	173,5
2009	1.311	229,4	240,5	737	124,4	115,6	2.048	176,4	173,3
2010	1.398	234,5	240,9	707	119,6	108,5	2.105	176,5	169,5
2011	1.401	239,7	244,4	816	141,1	127,2	2.217	189,9	181,1
2012	1.376	224,0	224,6	863	141,6	125,3	2.239	182,4	171,1
2013	1.446	231,9	226,3	885	143,6	125,0	2.331	187,3	171,8
2014	1.468	228,7	221,4	893	140,4	121,5	2.361	184,2	167,3
2015	1.479	229,5	218,4	920	140,2	119,3	2.399	184,5	165,3
2016	1.466	219,8	205,7	925	139,7	117,4	2.391	179,4	158,2
2017	1.472	212,7	195,4	984	146,2	120,6	2.456	179,2	155,5
2018	1.529	216,2	195,4	985	140,9	114,7	2.514	178,3	152,4
2019	1.520	202,1	180,7	1.012	141,4	113,9	2.532	171,6	144,9
Total	26.824	226,0	233,1	15.185	139,2	125,8	42.009	184,3	177,4
