Año_de_defunción	N_muertes_hombres	Tasa_bruta_hombres	Tasa_ajustada_hombres	N_muertes_mujeres	Tasa_bruta_mujeres	Tasa_ajustada_mujeres	N_muertes_ambos	Tasa_bruta_ambos	Tasa_ajustada_ambos
2000	230	48,4	57,5	823	176,6	189,1	1.053	113,3	127,8
2001	229	47,0	55,9	760	169,0	177,0	989	108,8	120,0
2002	220	46,8	54,0	864	192,7	197,8	1.084	120,6	130,2
2003	222	47,1	53,1	888	189,8	191,7	1.110	119,3	126,7
2004	270	55,5	61,6	786	169,4	167,9	1.056	113,1	117,7
2005	271	53,7	59,4	827	174,2	169,7	1.098	114,6	117,6
2006	249	43,6	48,0	835	172,7	165,5	1.084	108,8	109,9
2007	309	56,0	60,4	863	180,3	169,6	1.172	118,8	117,7
2008	279	50,5	53,5	867	173,4	160,9	1.146	112,6	109,8
2009	290	51,1	53,3	810	162,8	149,2	1.100	107,5	103,7
2010	267	51,3	51,3	800	159,0	143,5	1.067	105,7	99,8
2011	294	55,1	54,3	831	161,3	142,6	1.125	108,7	100,7
2012	308	55,9	54,3	819	148,7	130,6	1.127	102,7	94,5
2013	293	48,6	47,6	785	145,9	125,4	1.078	97,7	88,3
2014	270	42,6	40,8	743	125,8	107,3	1.013	84,6	75,7
2015	288	51,5	47,5	713	124,8	104,8	1.001	88,4	77,4
2016	275	42,0	38,9	675	115,3	95,3	950	78,9	68,4
2017	255	38,2	34,6	679	112,3	92,1	934	75,5	64,7
2018	299	43,0	38,7	768	124,3	100,1	1.067	83,9	70,7
2019	264	38,5	34,0	655	104,9	84,0	919	71,9	60,0
Total	5.382	48,2	48,9	15.791	168,1	150,3	21.173	105,9	100,1
